date,Open,High,Low,Close,Volume
2025-08-04,50.56,51.25,50.51,50.83,624022.0
2025-08-01,51.205,51.26,50.03,50.05,2689609.0
2025-07-31,52.32,52.67,51.685,51.7,982018.0
2025-07-30,52.08,52.64,51.2602,51.77,1082114.0
2025-07-29,52.71,52.74,51.77,52.04,1101850.0
2025-07-28,52.57,52.79,52.015,52.33,1205779.0
2025-07-25,51.52,51.895,50.95,51.77,1369356.0
2025-07-24,52.63,52.99,52.2419,52.77,1441191.0
2025-07-23,52.35,52.62,51.98,52.49,1082027.0
2025-07-22,52.84,53.31,52.095,52.91,1710868.0
2025-07-21,52.39,52.85,51.65,51.73,1687427.0
2025-07-18,52.65,52.89,51.91,52.0,2356618.0
2025-07-17,52.27,53.165,52.115,52.73,1117288.0
2025-07-16,52.67,53.18,52.38,52.86,1504433.0
2025-07-15,52.16,52.5216,51.3,51.61,2301075.0
2025-07-14,53.93,54.12,52.82,53.14,1475690.0
2025-07-11,52.13,52.395,51.69,52.38,1796765.0
2025-07-10,49.24,50.495,49.0,50.27,2542722.0
2025-07-09,48.56,49.69,48.075,49.57,1284048.0
2025-07-08,48.27,48.41,47.88,48.2,679418.0
2025-07-07,48.06,48.16,47.6,47.89,1159948.0
2025-07-03,48.5,49.05,48.35,48.41,646328.0
2025-07-02,47.65,48.67,47.58,48.64,2163134.0
2025-07-01,47.25,47.51,46.65,46.66,1006264.0
2025-06-30,47.8,47.81,47.28,47.75,545761.0
2025-06-27,47.29,47.75,47.15,47.32,676140.0
2025-06-26,47.49,47.75,47.275,47.69,447919.0
2025-06-25,47.81,47.95,47.3486,47.78,865161.0
2025-06-24,46.59,47.12,46.45,46.85,665579.0
2025-06-23,44.83,45.7865,44.16,45.74,1040878.0
2025-06-20,47.06,47.06,45.35,45.74,708063.0
2025-06-18,46.08,46.69,45.9,46.01,711631.0
2025-06-17,46.82,46.87,45.78,46.41,1747802.0
2025-06-16,47.22,48.2889,47.18,48.17,631408.0
2025-06-13,46.5,46.999,46.145,46.61,521915.0
2025-06-12,47.33,48.065,47.2,47.3,819586.0
2025-06-11,48.65,48.94,48.05,48.21,537027.0
2025-06-10,48.64,48.915,48.03,48.55,566479.0
2025-06-09,47.675,48.21,47.385,48.13,893860.0
2025-06-06,46.06,46.73,46.05,46.19,768328.0
2025-06-05,46.88,46.89,45.01,45.14,1446356.0
2025-06-04,46.53,46.78,46.14,46.51,523218.0
2025-06-03,46.75,47.36,46.5596,47.09,768469.0
2025-06-02,46.05,46.39,45.92,46.27,531284.0
2025-05-30,46.79,46.96,45.9027,46.29,1267717.0
2025-05-29,48.01,48.04,46.74,46.77,1425408.0
2025-05-28,48.21,48.34,47.37,47.41,891301.0
2025-05-27,48.97,49.115,48.19,48.73,801643.0
2025-05-23,48.2,48.7899,47.89,48.18,1084610.0
2025-05-22,49.4,49.65,48.9792,49.3,1690777.0
2025-05-21,47.2,48.71,47.04,48.16,1904257.0
2025-05-20,46.39,47.57,46.16,47.47,800653.0
2025-05-19,45.43,46.8,45.38,46.76,877704.0
2025-05-16,45.91,46.36,45.82,46.15,671982.0
2025-05-15,45.43,46.17,44.93,45.7,669748.0
2025-05-14,46.11,46.25,45.465,45.77,1020446.0
2025-05-13,45.97,46.5535,45.58,46.45,1246796.0
2025-05-12,46.13,46.33,44.6554,45.11,1179521.0
2025-05-09,45.63,46.005,45.36,45.75,1311055.0
2025-05-08,44.05,45.07,43.9,44.89,1311745.0
2025-05-07,42.86,43.2,42.45,42.61,767316.0
2025-05-06,41.51,42.169,41.33,42.05,613632.0
2025-05-05,41.73,42.055,41.46,41.77,900647.0
2025-05-02,42.99,43.425,42.87,42.96,853375.0
2025-05-01,42.85,43.2499,42.49,42.79,1064785.0
2025-04-30,41.88,41.9,41.14,41.71,1574804.0
2025-04-29,42.04,42.32,41.9,42.24,655624.0
2025-04-28,42.17,42.185,41.41,41.99,991523.0
2025-04-25,41.79,42.52,41.69,42.3,1552047.0
2025-04-24,41.12,41.5201,41.04,41.49,677008.0
2025-04-23,41.69,41.99,40.745,41.44,1920456.0
2025-04-22,39.74,40.71,39.65,40.56,2623043.0
2025-04-21,38.67,39.275,38.28,38.72,2605778.0
2025-04-17,37.52,37.91,37.115,37.65,642004.0
2025-04-16,37.11,37.89,36.93,37.38,909939.0
2025-04-15,38.02,38.32,37.175,37.24,514959.0
2025-04-14,37.67,38.04,37.1,37.7,1035129.0
2025-04-11,36.32,37.32,36.015,37.16,1146391.0
2025-04-10,36.19,36.24,34.705,35.23,2292241.0
2025-04-09,33.98,36.78,33.98,36.5,2034379.0
2025-04-08,35.51,35.57,33.7601,33.99,1369930.0
2025-04-07,34.02,35.96,33.53,34.53,2505941.0
2025-04-04,36.58,37.49,36.22,37.21,1497070.0
2025-04-03,36.28,36.659,35.9709,36.31,1104440.0
2025-04-02,37.51,38.73,37.45,38.53,1483903.0
2025-04-01,37.05,37.91,36.54,37.65,871487.0
2025-03-31,36.55,37.17,36.151,36.49,751424.0
2025-03-28,37.81,37.91,36.99,37.07,640075.0
2025-03-27,38.26,38.8,38.035,38.56,662340.0
2025-03-26,38.8,38.985,38.039,38.35,658303.0
2025-03-25,38.89,39.15,38.581,39.08,600919.0
2025-03-24,38.7,39.34,38.65,39.13,754929.0
2025-03-21,37.06,37.4,36.83,37.19,528739.0
2025-03-20,37.72,38.35,37.04,37.31,608008.0
2025-03-19,37.2,38.129,37.05,37.89,1009180.0
2025-03-18,36.51,36.55,35.93,36.43,820516.0
2025-03-17,36.75,37.5651,36.54,37.45,854060.0
2025-03-14,36.93,37.83,36.6302,37.54,1004884.0
2025-03-13,36.74,36.82,35.38,35.5,805848.0
2025-03-12,36.93,37.12,35.7,36.75,642476.0
2025-03-11,36.09,37.05,35.0,36.82,810933.0
2025-03-10,36.65,36.73,34.28,34.99,1945965.0
2025-03-07,39.5,40.3782,38.34,38.54,747883.0
2025-03-06,39.85,40.5365,38.9,39.46,853575.0
2025-03-05,39.79,40.1297,38.81,40.08,945442.0
2025-03-04,36.655,39.36,36.12,38.5,1969008.0
2025-03-03,41.31,41.33,37.7207,38.1,1587518.0
2025-02-28,36.25,37.74,35.91,37.33,1687212.0
2025-02-27,38.22,38.26,36.56,36.93,1127600.0
2025-02-26,38.01,39.13,36.38,37.32,2982267.0
2025-02-25,39.47,39.5,37.97,39.04,2398489.0
2025-02-24,42.28,42.44,41.49,41.64,1240137.0
2025-02-21,43.94,44.05,41.95,42.02,1045240.0
2025-02-20,43.34,43.78,42.9,43.66,652674.0
2025-02-19,42.71,42.84,42.26,42.63,617871.0
2025-02-18,42.78,42.84,41.34,41.72,1095652.0
2025-02-14,42.84,43.89,42.68,43.11,782281.0
2025-02-13,42.53,42.75,42.2,42.66,502137.0
2025-02-12,41.98,43.29,41.88,42.99,991371.0
